"Store","Size","total_penjualan"
43,41062,2205.57779479811
10,126512,2146.9719385512835
42,39690,2004.6800813807004
37,39910,1859.2518246053621
23,114533,1735.3131224188662
3,37392,1540.0817038403936
20,203742,1479.311052507583
1,151315,1469.8001444007534
30,42988,1458.9393579603611
4,205863,1455.064549627665
14,200898,1438.5405098109488
38,39690,1389.7613106575964
17,93188,1371.2295448984848
2,202307,1361.2106401656888
36,39910,1338.316586569782
13,219622,1304.5947300361531
5,34875,1303.9624057347671
16,57197,1298.187411927199
18,120653,1285.62683240367
12,112238,1285.5470531370836
35,103681,1268.5127658876747
27,204184,1243.270368295263
22,119557,1230.1717889374943
7,70713,1153.9359826340276
39,184109,1126.7539472269145
6,202505,1104.9412638700278
44,39910,1084.7679238286144
19,203819,1013.8155034614044
31,203750,979.7001496932515
24,203819,951.9035088976003
45,118221,950.7223033132861
26,152513,940.3552076872136
33,39690,936.2615762156714
11,207499,934.7649232044491
41,196321,923.7011572373816
28,206302,917.4107889404853
40,155083,889.0098191935931
34,158114,874.3676271550906
8,155078,837.9730273152865
29,93638,823.8274451611525
32,203007,821.7413496086342
25,128107,788.8810070487951
21,140167,771.3504528169968
15,123737,720.3478662000857
9,125833,618.1941063949838
